LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
-1.3600139e-06,0
-1.3599139e-06,-4.375e-05
-1.3598139e-06,-0.0001
-1.3597139e-06,-0.0001625
-1.3596139e-06,-0.0002
-1.3595139e-06,-0.0002
-1.3594139e-06,-0.00014375
-1.3593139e-06,-3.75e-05
-1.3592139e-06,0.0001
-1.3591139e-06,0.00023125
-1.3590139e-06,0.000325
-1.3589139e-06,0.00035
-1.3588139e-06,0.0003
-1.3587139e-06,0.0001875
-1.3586139e-06,4.375e-05
-1.3585139e-06,-9.375e-05
-1.3584139e-06,-0.0002
-1.3583139e-06,-0.00026875
-1.3582139e-06,-0.00029375
-1.3581139e-06,-0.00030625
-1.3580139e-06,-0.0003
-1.3579139e-06,-0.00029375
-1.3578139e-06,-0.000275
-1.3577139e-06,-0.00024375
-1.3576139e-06,-0.0002
-1.3575139e-06,-0.00015
-1.3574139e-06,-0.00010625
-1.3573139e-06,-8.75e-05
-1.3572139e-06,-0.0001
-1.3571139e-06,-0.00013125
-1.3570139e-06,-0.00015625
-1.3569139e-06,-0.00015
-1.3568139e-06,-0.0001
-1.3567139e-06,-6.25e-06
-1.3566139e-06,0.00010625
-1.3565139e-06,0.0001875
-1.3564139e-06,0.0002
-1.3563139e-06,0.00013125
-1.3562139e-06,-1.875e-05
-1.3561139e-06,-0.0002125
-1.3560139e-06,-0.0004
-1.3559139e-06,-0.0005375
-1.3558139e-06,-0.0006
-1.3557139e-06,-0.00058125
-1.3556139e-06,-0.0005
-1.3555139e-06,-0.00038125
-1.3554139e-06,-0.00024375
-1.3553139e-06,-0.0001125
-1.3552139e-06,0
-1.3551139e-06,9.375e-05
-1.3550139e-06,0.00015625
-1.3549139e-06,0.00019375
-1.3548139e-06,0.0002
-1.3547139e-06,0.000175
-1.3546139e-06,0.000125
-1.3545139e-06,6.25e-05
-1.3544139e-06,0
-1.3543139e-06,-5.625e-05
-1.3542139e-06,-9.375e-05
-1.3541139e-06,-0.0001125
-1.3540139e-06,-0.0001
-1.3539139e-06,-6.25e-05
-1.3538139e-06,6.25e-06
-1.3537139e-06,0.0001
-1.3536139e-06,0.0002
-1.3535139e-06,0.00029375
-1.3534139e-06,0.00036875
-1.3533139e-06,0.0004
-1.3532139e-06,0.0004
-1.3531139e-06,0.00038125
-1.3530139e-06,0.0003625
-1.3529139e-06,0.00036875
-1.3528139e-06,0.0004
-1.3527139e-06,0.00044375
-1.3526139e-06,0.000475
-1.3525139e-06,0.0004625
-1.3524139e-06,0.0004
-1.3523139e-06,0.00029375
-1.3522139e-06,0.00018125
-1.3521139e-06,0.00010625
-1.3520139e-06,0.0001
-1.3519139e-06,0.0001625
-1.3518139e-06,0.00026875
-1.3517139e-06,0.00036875
-1.3516139e-06,0.0004
-1.3515139e-06,0.0003375
-1.3514139e-06,0.0001875
-1.3513139e-06,-1.25e-05
-1.3512139e-06,-0.0002
-1.3511139e-06,-0.0003125
-1.3510139e-06,-0.00030625
-1.3509139e-06,-0.0001875
-1.3508139e-06,0
-1.3507139e-06,0.00020625
-1.3506139e-06,0.0003625
-1.3505139e-06,0.0004375
